test_instances/large/inst_1000_60_00004;test_instances/large/inst_1000_60_00008;test_instances/large/inst_1000_60_00009;test_instances/large/inst_1000_60_00005;test_instances/large/inst_1000_60_00002;test_instances/large/inst_1000_60_00001;test_instances/large/inst_1000_60_00007;test_instances/large/inst_1000_60_00010;test_instances/large/inst_1000_60_00003;test_instances/large/inst_1000_60_00006
1537029966.0;409382353.0;328712729.0;1004310466.0;5120212238.0;14427389958.0;528199836.0;263680235.0;2574900353.0;702100599.0
1537007795.0;409339584.0;328956871.0;1003734957.0;5121170425.0;14426771325.0;528569933.0;263939646.0;2576292198.0;702138587.0
1537339271.0;409505441.0;328848398.0;1004398311.0;5120116396.0;14426050311.0;528518446.0;263863582.0;2575442664.0;701853509.0
1537320741.0;409392184.0;328672625.0;1003896690.0;5121076135.0;14426691826.0;528394090.0;263612205.0;2575621671.0;702363879.0
1536547911.0;408972745.0;328381266.0;1003848919.0;5124785090.0;14423248250.0;528664828.0;264219053.0;2576752371.0;702542156.0
1536134159.0;409633837.0;328630367.0;1003824996.0;5121480228.0;14422296814.0;528802708.0;263806230.0;2575440836.0;702279118.0
1536012745.0;408870734.0;328931311.0;1003645484.0;5120422782.0;14425986304.0;528524015.0;263648771.0;2575139467.0;702111207.0
1537404501.0;409083334.0;328911580.0;1004145536.0;5122181581.0;14427756629.0;528245755.0;263827598.0;2573870486.0;702716464.0
1537191374.0;408849073.0;328651241.0;1004631432.0;5122370915.0;14428231635.0;528228886.0;263998207.0;2576826137.0;702171330.0
1536356520.0;409081469.0;328572250.0;1004233064.0;5118160182.0;14424948348.0;527939315.0;263903119.0;2573620652.0;702706381.0
