test_instances/medium_large/inst_500_40_00004;test_instances/medium_large/inst_500_40_00013;test_instances/medium_large/inst_500_40_00001;test_instances/medium_large/inst_500_40_00007;test_instances/medium_large/inst_500_40_00010;test_instances/medium_large/inst_500_40_00019;test_instances/medium_large/inst_500_40_00016
85597225.0;314802657.0;36929690.0;154172030.0;231511266.0;508107687.0;413791460.0
85597867.0;314838532.0;36853642.0;154068902.0;231129628.0;507918034.0;413486723.0
85590380.0;314955251.0;36878136.0;154156933.0;231284774.0;507992132.0;413718874.0
85558106.0;315021976.0;36868382.0;154071631.0;231127982.0;507960092.0;413548061.0
85553285.0;314947927.0;36916594.0;154142018.0;231391979.0;507978961.0;413687643.0
85581372.0;315127536.0;36879312.0;154155962.0;231359317.0;508130888.0;413713626.0
85446407.0;314961958.0;36874984.0;154089483.0;231252573.0;507679272.0;413494888.0
85498216.0;314938900.0;36882530.0;154073160.0;231337977.0;507973573.0;413720719.0
85612477.0;315013682.0;36893813.0;154149880.0;231251601.0;508102484.0;413670843.0
85542522.0;314995755.0;36926825.0;154147301.0;231275632.0;507881104.0;413648234.0
